date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021-04-13,2209,2209,0
2021-04-14,2359,2359,0
2021-04-15,2938,2938,0
2021-04-16,2438,2438,0
2021-04-17,3137,3137,0
2021-04-18,5476,5476,0
2021-04-19,8805,8805,0
2021-04-20,13387,13387,0
2021-04-21,16226,16226,0
2021-04-22,14601,14601,0
2021-04-23,10752,10752,0
2021-04-24,10501,10501,0
2021-04-25,11389,11389,0
2021-04-26,16022,16022,0
2021-04-27,21602,21602,0
2021-04-28,20131,20131,0
2021-04-29,7501,7501,0
2021-04-30,14679,14679,0
2021-05-01,12262,12262,0
2021-05-02,11881,11881,0
2021-05-03,4551,4551,0
2021-05-04,5013,5013,0
2021-05-05,5270,5270,0
2021-05-06,16616,16616,0
