date,total_vaccinations,1st_vaccinations,2nd_vaccinations,1st_vaccinations_pfizer,2nd_vaccinations_pfizer,1st_vaccinations_moderna,2nd_vaccinations_moderna
NaN-NaN-NaN,29723536,21411586,8311950,20525326,8290034,886260,21916
2021-04-13,3423,3423,0,3423,0,0,0
2021-04-14,3766,3766,0,3766,0,0,0
2021-04-15,6366,6366,0,6366,0,0,0
2021-04-16,6566,6566,0,6566,0,0,0
2021-04-17,5959,5959,0,5959,0,0,0
2021-04-18,7284,7284,0,7284,0,0,0
2021-04-19,19997,19997,0,19997,0,0,0
2021-04-20,30203,30203,0,30203,0,0,0
2021-04-21,35625,35625,0,35625,0,0,0
2021-04-22,33853,33853,0,33853,0,0,0
2021-04-23,28107,28107,0,28107,0,0,0
2021-04-24,20741,20741,0,20741,0,0,0
2021-04-25,18949,18949,0,18949,0,0,0
2021-04-26,36375,36375,0,36375,0,0,0
2021-04-27,47916,47916,0,47916,0,0,0
2021-04-28,48289,48289,0,48289,0,0,0
2021-04-29,14275,14275,0,14275,0,0,0
2021-04-30,35588,35588,0,35588,0,0,0
2021-05-01,28117,28117,0,28117,0,0,0
2021-05-02,22024,22024,0,22024,0,0,0
2021-05-03,6920,6151,769,6151,769,0,0
2021-05-04,7743,7091,652,7091,652,0,0
2021-05-05,9551,8665,886,8665,886,0,0
2021-05-06,40069,34770,5299,34770,5299,0,0
2021-05-07,39084,33732,5352,33732,5352,0,0
2021-05-08,57386,51880,5506,51880,5506,0,0
2021-05-09,76137,69340,6797,69340,6797,0,0
2021-05-10,102131,86932,15199,86932,15199,0,0
2021-05-11,134298,110109,24189,110109,24189,0,0
2021-05-12,168445,140058,28387,140058,28387,0,0
2021-05-13,164080,137311,26769,137311,26769,0,0
2021-05-14,134651,113858,20793,113858,20793,0,0
2021-05-15,145541,127681,17860,127681,17860,0,0
2021-05-16,197665,180870,16795,180870,16795,0,0
2021-05-17,220670,192316,28354,192316,28354,0,0
2021-05-18,267228,229582,37646,229582,37646,0,0
2021-05-19,318948,282122,36826,282122,36826,0,0
2021-05-20,307502,292401,15101,292401,15101,0,0
2021-05-21,280349,252439,27910,252439,27910,0,0
2021-05-22,294310,267050,27260,267050,27260,0,0
2021-05-23,332994,311555,21439,311555,21439,0,0
2021-05-24,424122,416861,7261,407036,7261,9825,0
2021-05-25,486548,478624,7924,468839,7924,9785,0
2021-05-26,543875,534386,9489,522916,9489,11470,0
2021-05-27,549209,516591,32618,504206,32618,12385,0
2021-05-28,522755,492141,30614,477876,30614,14265,0
2021-05-29,494691,446916,47775,431390,47775,15526,0
2021-05-30,507618,447549,60069,431622,60069,15927,0
2021-05-31,581544,504488,77056,486177,77056,18311,0
2021-06-01,670318,577493,92825,558299,92825,19194,0
2021-06-02,718154,598944,119210,579329,119210,19615,0
2021-06-03,722478,604331,118147,584348,118147,19983,0
2021-06-04,680381,583162,97219,562967,97219,20195,0
2021-06-05,684524,570627,113897,550261,113897,20366,0
2021-06-06,704340,532512,171828,509748,171828,22764,0
2021-06-07,749938,587170,162768,558299,162768,28871,0
2021-06-08,827070,631004,196066,601926,196066,29078,0
2021-06-09,861654,617117,244537,590195,244537,26922,0
2021-06-10,859595,603779,255816,575314,255816,28465,0
2021-06-11,822749,600234,222515,571685,222515,28549,0
2021-06-12,834294,590390,243904,557649,243904,32741,0
2021-06-13,836365,543513,292852,509994,292852,33519,0
2021-06-14,855544,505554,349990,477629,349990,27925,0
2021-06-15,932548,534217,398331,508453,398331,25764,0
2021-06-16,964365,516742,447623,490270,447623,26472,0
2021-06-17,956881,525382,431499,496761,431499,28621,0
2021-06-18,891138,489666,401472,461744,401472,27922,0
2021-06-19,907890,545030,362860,509727,362860,35303,0
2021-06-20,910509,542481,368028,506712,368028,35769,0
2021-06-21,873473,482741,390732,449766,387502,32975,3230
2021-06-22,913043,472665,440378,439018,437683,33647,2695
2021-06-23,902797,465010,437787,431646,434885,33364,2902
2021-06-24,857762,432452,425310,400979,422463,31473,2847
2021-06-25,759420,383426,375994,349840,372719,33586,3275
2021-06-26,625187,334707,290480,296018,287197,38689,3283
2021-06-27,527786,310499,217287,273505,213603,36994,3684
