code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,164622,110357,54265
02,青森県,43071,30210,12861
03,岩手県,49643,37849,11794
04,宮城県,74061,54120,19941
05,秋田県,36793,24963,11830
06,山形県,43627,30693,12934
07,福島県,64642,46232,18410
08,茨城県,91573,65786,25787
09,栃木県,63575,45934,17641
10,群馬県,66539,47455,19084
11,埼玉県,196355,144470,51885
12,千葉県,160846,115257,45589
13,東京都,404983,290463,114520
14,神奈川県,215694,167971,47723
15,新潟県,76670,56252,20418
16,富山県,42755,30794,11961
17,石川県,44400,33285,11115
18,福井県,36859,28972,7887
19,山梨県,24275,16466,7809
20,長野県,67184,49713,17471
21,岐阜県,65328,46302,19026
22,静岡県,106529,79212,27317
23,愛知県,232493,178287,54206
24,三重県,62321,45350,16971
25,滋賀県,47662,35145,12517
26,京都府,85754,62704,23050
27,大阪府,233690,155198,78492
28,兵庫県,149956,104267,45689
29,奈良県,47112,35925,11187
30,和歌山県,40201,28574,11627
31,鳥取県,25037,17980,7057
32,島根県,28004,20664,7340
33,岡山県,68993,51696,17297
34,広島県,103296,76197,27099
35,山口県,65528,45438,20090
36,徳島県,39017,29576,9441
37,香川県,38654,26037,12617
38,愛媛県,60266,45291,14975
39,高知県,37115,24006,13109
40,福岡県,162636,109771,52865
41,佐賀県,46287,32839,13448
42,長崎県,65212,44904,20308
43,熊本県,87289,60846,26443
44,大分県,52455,38970,13485
45,宮崎県,47239,32851,14388
46,鹿児島県,73668,54420,19248
