code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,77032,73824,3208
02,青森県,35397,31860,3537
03,岩手県,31730,27629,4101
04,宮城県,34682,32084,2598
05,秋田県,39375,35151,4224
06,山形県,42135,36204,5931
07,福島県,50468,47289,3179
08,茨城県,40594,39534,1060
09,栃木県,26648,24309,2339
10,群馬県,43659,40045,3614
11,埼玉県,87843,86265,1578
12,千葉県,77135,73865,3270
13,東京都,211969,206207,5762
14,神奈川県,114365,107005,7360
15,新潟県,50811,46739,4072
16,富山県,16537,15187,1350
17,石川県,41479,35283,6196
18,福井県,24133,20716,3417
19,山梨県,19192,16006,3186
20,長野県,49169,45534,3635
21,岐阜県,43470,39731,3739
22,静岡県,51012,48942,2070
23,愛知県,118896,113463,5433
24,三重県,26415,24552,1863
25,滋賀県,37002,34011,2991
26,京都府,49415,47354,2061
27,大阪府,115756,108816,6940
28,兵庫県,76811,72782,4029
29,奈良県,24181,21537,2644
30,和歌山県,62030,53976,8054
31,鳥取県,24468,20196,4272
32,島根県,17454,14803,2651
33,岡山県,46152,43884,2268
34,広島県,46554,40322,6232
35,山口県,72126,66402,5724
36,徳島県,22282,19318,2964
37,香川県,31338,25644,5694
38,愛媛県,15468,13933,1535
39,高知県,32500,29580,2920
40,福岡県,73442,70888,2554
41,佐賀県,29319,26519,2800
42,長崎県,23024,19903,3121
43,熊本県,38347,35128,3219
44,大分県,30075,26321,3754
45,宮崎県,43108,38662,4446
46,鹿児島県,48265,44578,3687
