code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,741092,576244,164848
02,青森県,243593,174320,69273
03,岩手県,215908,162635,53273
04,宮城県,323627,273136,50491
05,秋田県,187068,127423,59645
06,山形県,270656,206495,64161
07,福島県,431093,319741,111352
08,茨城県,425925,334981,90944
09,栃木県,251276,198374,52902
10,群馬県,356653,283324,73329
11,埼玉県,1110341,901218,209123
12,千葉県,1013906,805128,208778
13,東京都,2016218,1572157,444061
14,神奈川県,1303865,1054042,249823
15,新潟県,488614,374707,113907
16,富山県,214851,167465,47386
17,石川県,263406,197178,66228
18,福井県,171493,127274,44219
19,山梨県,141058,106009,35049
20,長野県,411915,307842,104073
21,岐阜県,461819,363956,97863
22,静岡県,537795,416863,120932
23,愛知県,1361296,1098614,262682
24,三重県,365087,288908,76179
25,滋賀県,231046,176565,54481
26,京都府,468944,350240,118704
27,大阪府,1287904,1036071,251833
28,兵庫県,823900,660282,163618
29,奈良県,251454,196813,54641
30,和歌山県,274612,184517,90095
31,鳥取県,144714,102543,42171
32,島根県,151636,117942,33694
33,岡山県,437240,328434,108806
34,広島県,435432,347133,88299
35,山口県,385690,264197,121493
36,徳島県,166307,125414,40893
37,香川県,199018,150187,48831
38,愛媛県,236502,191001,45501
39,高知県,194981,139857,55124
40,福岡県,885031,692242,192789
41,佐賀県,216207,160228,55979
42,長崎県,270756,215325,55431
43,熊本県,390248,306574,83674
44,大分県,245134,186454,58680
45,宮崎県,262235,191402,70833
46,鹿児島県,319648,243088,76560
