code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,4277,4277,0
02,青森県,4345,4345,0
03,岩手県,4906,4906,0
04,宮城県,2934,2934,0
05,秋田県,5227,5227,0
06,山形県,7509,7509,0
07,福島県,5365,5365,0
08,茨城県,3146,3146,0
09,栃木県,2618,2618,0
10,群馬県,4131,4131,0
11,埼玉県,2544,2544,0
12,千葉県,3596,3596,0
13,東京都,7753,7753,0
14,神奈川県,7967,7967,0
15,新潟県,5249,5249,0
16,富山県,1396,1396,0
17,石川県,6469,6469,0
18,福井県,4187,4187,0
19,山梨県,3045,3045,0
20,長野県,3200,3200,0
21,岐阜県,4819,4819,0
22,静岡県,2963,2963,0
23,愛知県,6405,6405,0
24,三重県,2596,2596,0
25,滋賀県,4658,4658,0
26,京都府,1785,1785,0
27,大阪府,9789,9789,0
28,兵庫県,4474,4474,0
29,奈良県,3659,3659,0
30,和歌山県,7449,7449,0
31,鳥取県,4641,4641,0
32,島根県,2989,2989,0
33,岡山県,1746,1746,0
34,広島県,7786,7786,0
35,山口県,6088,6088,0
36,徳島県,3884,3884,0
37,香川県,6524,6524,0
38,愛媛県,2447,2447,0
39,高知県,4177,4177,0
40,福岡県,4408,4408,0
41,佐賀県,4060,4060,0
42,長崎県,5088,5088,0
43,熊本県,4883,4883,0
44,大分県,4047,4047,0
45,宮崎県,4956,4956,0
46,鹿児島県,5390,5390,0
